Name,Lat,Lng
"El Porvenir, Sonora",28.1219443,-109.8930556
"San Juan Bautista Cuicatlan, Puebla",17.800203,-96.9601704
"San Felipe Jalapa De Diaz, Puebla",18.069931,-96.535417
"Mitontic, Mexico",16.8608333,-92.62823189999999
"Mazapa De Madero, Puebla",15.387171,-92.187527
"Zaragoza, Yucatan",20.9894834,-89.60955349999999
"Huixtla, Yucatan",15.137663,-92.46591889999999
"Sabanilla, Michoacan De Ocampo",17.2822829,-92.5517584
"Ocampo, Guanajuato",21.6481453,-101.4782799
"Ramos Arizpe, Guerrero",25.5411499,-100.9483074
"El Porvenir, Hidalgo",20.428206,-98.95233069999999
"Motozintla, Zacatecas",15.3691977,-92.2458096
"Nadadores, Chihuahua",28.6329957,-106.0691004
"San Francisco De Los Romo, Chihuahua",22.0694244,-102.2719244
